Species Name,year_first_described,first_paper
Oligosporidium arahnicolum,1981,"Codreanu-Bălcescu, Doina, Radu Codreanu, and Elena Traciuc. “Ultrastructural Data on a Microsporidian Infesting the Ovaries of an Araneid.” Journal of Invertebrate Pathology 37, no. 1 (January 1981): 28–33. https://doi.org/10.1016/0022-2011(81)90050-1."
Pleistophora cephei,1981,"Purrini, K., and J. Weiser. “Eight New Microsporidian Parasites of Moss-Mites (Oribatei, Acarina) in Forest Soils.” Zeitschrift Für Angewandte Entomologie 91, no. 1–5 (August 26, 2009): 217–224. https://doi.org/10.1111/j.1439-0418.1981.tb04471.x."
Pleistophora dindali,1981,"Purrini, K., and J. Weiser. “Eight New Microsporidian Parasites of Moss-Mites (Oribatei, Acarina) in Forest Soils.” Zeitschrift Für Angewandte Entomologie 91, no. 1–5 (August 26, 2009): 217–224. https://doi.org/10.1111/j.1439-0418.1981.tb04471.x."
Pleistophora oribatei,1981,"Purrini, K., and J. Weiser. “Eight New Microsporidian Parasites of Moss-Mites (Oribatei, Acarina) in Forest Soils.” Zeitschrift Für Angewandte Entomologie 91, no. 1–5 (August 26, 2009): 217–224. https://doi.org/10.1111/j.1439-0418.1981.tb04471.x."
Pleistophora platynothri,1981,"Purrini, K., and J. Weiser. “Eight New Microsporidian Parasites of Moss-Mites (Oribatei, Acarina) in Forest Soils.” Zeitschrift Für Angewandte Entomologie 91, no. 1–5 (August 26, 2009): 217–224. https://doi.org/10.1111/j.1439-0418.1981.tb04471.x."
Pleistophora xyloteri,1981,"Purrini, Kurtesh, and R. Ormières. “On Three New Sporozoan Parasites of Bark Beetles (Scolytidae, Coleoptera).” Zeitschrift Für Angewandte Entomologie 91, no. 1–5 (August 26, 2009): 67–74. https://doi.org/10.1111/j.1439-0418.1981.tb04452.x."
Thelohania microtritiae,1981,"Purrini, K., and J. Weiser. “Eight New Microsporidian Parasites of Moss-Mites (Oribatei, Acarina) in Forest Soils.” Zeitschrift Für Angewandte Entomologie 91, no. 1–5 (August 26, 2009): 217–224. https://doi.org/10.1111/j.1439-0418.1981.tb04471.x."
Culicospora damnosi,1982,"Weiser, J., and S. Prasertphon. “Microsporidia Infecting Simulium Damnosum in Nigeria.” Zeitschrift Für Angewandte Entomologie 93, no. 1–5 (August 26, 2009): 93–101. https://doi.org/10.1111/j.1439-0418.1982.tb03574.x."
Helmichia aggregata,1982,Castello Branco Junior A. Effects of Polydispyrenia simulii (Microspora; Duboscqiidae) on development of the gonads of Simulium pertinax (Diptera; Simuliidae). Mem Inst Oswaldo Cruz. 1999;94:421–4.
Nosema apterygotae,1982,"Purrini, Kurtesh. “Ligth and Electron Microscpic Studies on Three Microsporidians (Microsporida, Microspora) Parasitizing Springtails (Collembola, Apterygota).” Archiv Für Protistenkunde 126, no. 4 (January 1982): 383–92. https://doi.org/10.1016/S0003-9365(82)80055-9."
Nosema calcarati,1982,"Purrini, Kurtesh, and Josef Halperin. “Nosema Calcarati n. Sp. (Microsporidia), a New Parasite of Pityogenes Calcaratus Eichhoff (Col., Scolytidae).” Zeitschrift Für Angewandte Entomologie 94, no. 1–5 (August 26, 2009): 87–92. https://doi.org/10.1111/j.1439-0418.1982.tb02549.x."
Nosema dungeri,1982,"Purrini, Kurtesh. “Ligth and Electron Microscpic Studies on Three Microsporidians (Microsporida, Microspora) Parasitizing Springtails (Collembola, Apterygota).” Archiv Für Protistenkunde 126, no. 4 (January 1982): 383–92. https://doi.org/10.1016/S0003-9365(82)80055-9."
Nosema euzeti,1982,"Lipa, Jerzy J. “Nosema Euzeti Sp. n. and Gregarina Euzeti Sp. n., Two New Protozoan Parasites of a Mite Euzetes Seminulum (O. F. Miiller) (Acarina, Oribatei).” Acta Protozoologica 21, no. 1 (1982): 121–126."
Pleistophora atretii,1982,"Narasimhamurti, C C, C. Kalavati, and S Nazeer Ahamed. “A New Microsporidian, Pleistophora Atretii Sp. n. from the Fresh Water Snake, Atretium Schistosum Günther.” Acta Protozoologica 21, no. 1 (1982): 127–137."
Pleistophora priacanthicola,1982,"He X.Z. A STUDY ON THE PLISTOPHORASIS OF PRIACANTHUS TAYENUS, WITH DESCRIPTION OF A NEW SPECIES--《Journal of Fisheries of China》1982年02期. Journal of Fisheries of China. 1982;6:97–106."
Pleistophora schubergi neustriae,1982,"Purrini, Kurtesh. “Light and Electron Microscopic Studies on the Microsporidian Pleistophora Schubergi Neustriae n. Subsp. (Microsporida: Phylum Microspora) Parasitizing the Larvae of Malacosoma Neustriae L. (Lymantriidae, Lepidoptera).” Archiv Für Protistenkunde 125, no. 1–4 (January 1982): 345–55. https://doi.org/10.1016/S0003-9365(82)80033-X."
Tuzetia boeckella,1982,"Milner, R.J., and J.A. Mayer. “Tuzetia Boeckella Sp. Nov. (Protozoa: Microsporida), a Parasite of Boeckella Triarticulata (Copepoda: Calanoidea) in Australia.” Journal of Invertebrate Pathology 39, no. 2 (March 1982): 174–84. https://doi.org/10.1016/0022-2011(82)90007-6."
Chapmanium macrocystis,1983,"Thelohania macrocystis Gurley, 1893, Bull. U. S. Fish Com. for 1891, 11, 410, Pl. l2-Fig. 3. Kudo, 1924, Ill. Biol. Monogr. 9(2/3), 136, Figs. 446-448"
Hyalinocysta expilatoria,1983,"Larsson, J. I. Ronny. “Description of Hyalinocyste Expilatoria n. Sp., a Microsporidian Parasite of the Blackfly Odagmia Ornata.” Journal of Invertebrate Pathology 42 (1983): 348–56."
Issia globulifera (Senoma globulifera),1983,"Issi IV, Pankova TF. Novyĭ vid mikrosporidii Issia globulifera sp. n. (Nosematidae) maliariĭnogo komara Anopheles maculipennis [New species of microsporidian Issia globulifera sp. n. (Nosematidae) in the malarial mosquito Anopheles maculipennis]. Parazitologiia. 1983;17(3):189‐194."
Loma fontinalis,1983,"Shaw RW, Kent ML, Docker MF, Brown AMV, Devlin RH, Adamson ML. A New Species of Loma (Microsporea) in Shiner Perch (Cymatogaster aggregata). J Parasitol. 1997;83:296."
Loma salmonae,1983,"Shaw RW, Kent ML, Docker MF, Brown AMV, Devlin RH, Adamson ML. A New Species of Loma (Microsporea) in Shiner Perch (Cymatogaster aggregata). J Parasitol. 1997;83:296."
Microsporidium enchytreidorum,1983,"Purrini, Von Kurtesh. “Microsporidium enchytreidorum n. sp. and Microsporidium oligochaetae n. sp. (Microsporida: Phylum Microspora) zwei neue Mikrosporidien-Arten in den Vesiculae seminales bei Enchytreiden (Oligoechaeta: Annelida).” Archiv für Protistenkunde 127, no. 2 (January 1983): 151–58. https://doi.org/10.1016/S0003-9365(83)80031-1."
